i, Otimizado, Tradicional
0, 0.000005, 0.000000
1, 0.000002, 0.000000
2, 0.000002, 0.000000
3, 0.000003, 0.000000
4, 0.000003, 0.000000
5, 0.000004, 0.000000
6, 0.000006, 0.000000
7, 0.000007, 0.000000
8, 0.000007, 0.000000
9, 0.000008, 0.000000
10, 0.000008, 0.000001
11, 0.000007, 0.000001
12, 0.000007, 0.000001
13, 0.000011, 0.000002
14, 0.000012, 0.000003
15, 0.000012, 0.000004
16, 0.000010, 0.000008
17, 0.000015, 0.000014
18, 0.000011, 0.000018
19, 0.000011, 0.000029
20, 0.000012, 0.000047
21, 0.000012, 0.000076
22, 0.000013, 0.000123
23, 0.000013, 0.000199
24, 0.000013, 0.000322
25, 0.000014, 0.000522
26, 0.000014, 0.000871
27, 0.000015, 0.001369
28, 0.000016, 0.002249
29, 0.000018, 0.003640
30, 0.000021, 0.005920
31, 0.000021, 0.013186
32, 0.000033, 0.015877
33, 0.000023, 0.025819
34, 0.000024, 0.040161
35, 0.000024, 0.071855
36, 0.000025, 0.107556
37, 0.000025, 0.169447
38, 0.000025, 0.274250
39, 0.000026, 0.446883
40, 0.000026, 0.721706
41, 0.000027, 1.173250
